"id_municipio","sigla_uf","ano","raca_cor_nome","salario_medio"
"2700508","AL",2016,"Amarela",1212.42
"2700508","AL",2016,"Branca",1060.6051875
"2700508","AL",2016,"Negra",1207.61726726727
"2700508","AL",2016,"Não identificado",1682.65281791908
"2700607","AL",2012,"Amarela",757.64
"2700607","AL",2012,"Branca",867.967016129032
"2700607","AL",2012,"Indígena",1000
"2700607","AL",2012,"Negra",911.765288966724
"2700607","AL",2012,"Não identificado",936.161867995019
"2700607","AL",2014,"Amarela",1166.3
"2700607","AL",2014,"Branca",1530.33135
"2700607","AL",2014,"Indígena",663.14625
"2700607","AL",2014,"Negra",1302.25857615894
"2700607","AL",2014,"Não identificado",1105.6095126523
"2700607","AL",2016,"Amarela",1567.26285714286
"2700607","AL",2016,"Branca",1587.72606694561
"2700607","AL",2016,"Indígena",1303.37142857143
"2700607","AL",2016,"Negra",1431.43239096573
"2700607","AL",2016,"Não identificado",1461.13359601449
"2700706","AL",2012,"Amarela",1011.26685714286
"2700706","AL",2012,"Branca",1712.12821917808
"2700706","AL",2012,"Indígena",622
"2700706","AL",2012,"Negra",970.502913669065
"2700706","AL",2012,"Não identificado",788.811838926174
"2700706","AL",2014,"Amarela",838.6875
"2700706","AL",2014,"Branca",1632.64751243781
"2700706","AL",2014,"Indígena",724
"2700706","AL",2014,"Negra",1069.55713910761
"2700706","AL",2014,"Não identificado",1088.32549676026
"2700706","AL",2016,"Amarela",965.961666666667
"2700706","AL",2016,"Branca",2113.92708955224
"2700706","AL",2016,"Negra",1363.10776942356
"2700706","AL",2016,"Não identificado",1279.17057692308
"2700805","AL",2012,"Branca",4757.20948717949
"2700805","AL",2012,"Indígena",4149.46
"2700805","AL",2012,"Negra",1157.5525
"2700805","AL",2012,"Não identificado",965.052538461538
"2700805","AL",2014,"Branca",1295.056
"2700805","AL",2014,"Negra",851.128947368421
"2700805","AL",2014,"Não identificado",1095.01454545455
"2700805","AL",2016,"Branca",1618.600625
"2700805","AL",2016,"Negra",1271.40023255814
"2700805","AL",2016,"Não identificado",1110.05855967078
"2700904","AL",2012,"Branca",1177.49739130435
"2700904","AL",2012,"Negra",1071.48655172414
"2700904","AL",2012,"Não identificado",1231.86951851852
"2700904","AL",2014,"Branca",1216.15625
"2700904","AL",2014,"Negra",1202.67018518519
"2700904","AL",2014,"Não identificado",1546.22642570281
"2700904","AL",2016,"Branca",1517.22555555556
"2700904","AL",2016,"Negra",1480.22862745098
"2700904","AL",2016,"Não identificado",1592.96071428572
"2701001","AL",2012,"Branca",1170.68349056604
"2701001","AL",2012,"Indígena",649.204
"2701001","AL",2012,"Negra",1114.39255018468
"2701001","AL",2012,"Não identificado",1044.84411589896
"2701001","AL",2014,"Amarela",2232.33
"2701001","AL",2014,"Branca",1569.02944444444
"2701001","AL",2014,"Indígena",776.87
"2701001","AL",2014,"Negra",1209.84496465295
"2701001","AL",2014,"Não identificado",1289.29182722188
"2701001","AL",2016,"Amarela",1767
"2701001","AL",2016,"Branca",1640.48919191919
"2701001","AL",2016,"Indígena",1018.51
"2701001","AL",2016,"Negra",1307.99255664814
"2701001","AL",2016,"Não identificado",1544.3499344692
"2701100","AL",2012,"Branca",745.728
"2701100","AL",2012,"Indígena",781.95
"2701100","AL",2012,"Negra",758.103448275862
"2701100","AL",2012,"Não identificado",1214.57694656489
"2701100","AL",2014,"Branca",803.434333333333
"2701100","AL",2014,"Negra",1149.16615384615
"2701100","AL",2014,"Não identificado",1281.4719844358
"2701100","AL",2016,"Branca",1512.32092105263
"2701100","AL",2016,"Negra",1672.89736842105
"2701100","AL",2016,"Não identificado",1557.31581395349
"2701209","AL",2012,"Branca",1749.30630434783
"2701209","AL",2012,"Negra",785.781636363636
"2701209","AL",2012,"Não identificado",1012.79588942308
"2701209","AL",2014,"Branca",1393.37369565217
"2701209","AL",2014,"Indígena",992.49
"2701209","AL",2014,"Negra",981.67875
"2701209","AL",2014,"Não identificado",1426.22635829662
"2701209","AL",2016,"Amarela",1009.67
"2701209","AL",2016,"Branca",1306.91605263158
"2701209","AL",2016,"Indígena",1202.5
"2701209","AL",2016,"Negra",1347.12528571429
"2701209","AL",2016,"Não identificado",1640.44801574803
"2701308","AL",2012,"Amarela",1097.21
"2701308","AL",2012,"Branca",1401.32628959276
"2701308","AL",2012,"Negra",909.718470624805
"2701308","AL",2012,"Não identificado",1161.69139921722
"2701308","AL",2014,"Amarela",921.511428571429
"2701308","AL",2014,"Branca",1166.10222011385
"2701308","AL",2014,"Negra",966.080153543308
"2701308","AL",2014,"Não identificado",1257.65871391076
"2701308","AL",2016,"Amarela",735.6525
"2701308","AL",2016,"Branca",1396.64553097345
"2701308","AL",2016,"Negra",1138.16483261803
"2701308","AL",2016,"Não identificado",1561.15192668372
"2701357","AL",2012,"Amarela",618.766666666667
"2701357","AL",2012,"Branca",777.964
"2701357","AL",2012,"Indígena",637
"2701357","AL",2012,"Negra",755.561790393013
"2701357","AL",2012,"Não identificado",887.856748366014
"2701357","AL",2014,"Branca",1026.828125
"2701357","AL",2014,"Indígena",724
"2701357","AL",2014,"Negra",879.453404255319
"2701357","AL",2014,"Não identificado",1082.78413207547
"2701357","AL",2016,"Branca",1034.50666666667
"2701357","AL",2016,"Negra",1053.11739130435
"2701357","AL",2016,"Não identificado",1491.3675
"2701407","AL",2012,"Amarela",1270.24916666667
"2701407","AL",2012,"Branca",1377.66279069768
"2701407","AL",2012,"Indígena",1024.67666666667
"2701407","AL",2012,"Negra",1144.55696772696
"2701407","AL",2012,"Não identificado",1402.69875950242
"2701407","AL",2014,"Amarela",1183.90923076923
"2701407","AL",2014,"Branca",1516.4603930131
"2701407","AL",2014,"Indígena",1337.90285714286
"2701407","AL",2014,"Negra",1172.33300790905
"2701407","AL",2014,"Não identificado",1389.26094751773
"2701407","AL",2016,"Amarela",1342.78
"2701407","AL",2016,"Branca",1867.47560209424
"2701407","AL",2016,"Indígena",1729.11636363636
"2701407","AL",2016,"Negra",1460.7514512958
"2701407","AL",2016,"Não identificado",1804.55612888483
"2701506","AL",2012,"Branca",1030.38433333333
"2701506","AL",2012,"Indígena",622
"2701506","AL",2012,"Negra",997.060746268657
"2701506","AL",2012,"Não identificado",965.966053639847
"2701506","AL",2014,"Branca",1052.68208333333
"2701506","AL",2014,"Negra",2045.87092307692
"2701506","AL",2014,"Não identificado",1162.20298148148
"2701506","AL",2016,"Branca",1378.94046511628
"2701506","AL",2016,"Negra",1145.64884057971
"2701506","AL",2016,"Não identificado",1364.47129326047
"2701605","AL",2012,"Amarela",1499.22
"2701605","AL",2012,"Branca",1508.40827586207
"2701605","AL",2012,"Negra",1458.97727272727
"2701605","AL",2012,"Não identificado",948.746395833333
"2701605","AL",2014,"Amarela",709.771428571429
"2701605","AL",2014,"Branca",1734.08212121212
"2701605","AL",2014,"Indígena",734
"2701605","AL",2014,"Negra",2557.83106382979
"2701605","AL",2014,"Não identificado",1297.99522603978
"2701605","AL",2016,"Amarela",895.5075
"2701605","AL",2016,"Branca",1455.40407407407
"2701605","AL",2016,"Negra",2164.59974358974
"2701605","AL",2016,"Não identificado",1135.77636363636
"2701704","AL",2012,"Amarela",1407.85666666667
"2701704","AL",2012,"Branca",1134.82888198758
"2701704","AL",2012,"Indígena",664.71
"2701704","AL",2012,"Negra",852.917168059423
"2701704","AL",2012,"Não identificado",1446.85638450502
"2701704","AL",2014,"Amarela",1333.492
"2701704","AL",2014,"Branca",1585.95563492063
"2701704","AL",2014,"Indígena",1124
"2701704","AL",2014,"Negra",965.193159999999
"2701704","AL",2014,"Não identificado",1433.22745997865
"2701704","AL",2016,"Amarela",2731.725
"2701704","AL",2016,"Branca",2099.8938317757
"2701704","AL",2016,"Indígena",1669.12
"2701704","AL",2016,"Negra",1414.81291839557
"2701704","AL",2016,"Não identificado",1989.4244188862
"2701803","AL",2012,"Branca",775.390769230769
"2701803","AL",2012,"Negra",925.957796610169
"2701803","AL",2012,"Não identificado",1043.45878995434
"2701803","AL",2014,"Branca",809.159333333333
