"id_municipio","sigla_uf","ano","salario_medio"
"2706802","AL",2016,1590.31894386299
"2706901","AL",2012,1630.54037633136
"2706901","AL",2014,1982.95168089054
"2706901","AL",2016,2629.7023022847
"2707008","AL",2012,912.78679197995
"2707008","AL",2014,867.723148148148
"2707008","AL",2016,1213.26423398329
"2707107","AL",2012,1137.09279842342
"2707107","AL",2014,1596.67910672308
"2707107","AL",2016,1660.628
"2707206","AL",2012,1007.91077380952
"2707206","AL",2014,1447.2565948856
"2707206","AL",2016,1953.11970172685
"2707305","AL",2012,876.622524226322
"2707305","AL",2014,1184.01807858466
"2707305","AL",2016,1265.13466441821
"2707404","AL",2012,779.008860606062
"2707404","AL",2014,923.781435132032
"2707404","AL",2016,1108.05079281184
"2707503","AL",2012,1463.07895184136
"2707503","AL",2014,1491.07781065089
"2707503","AL",2016,1697.15288812786
"2707602","AL",2012,970.267670549085
"2707602","AL",2014,1479.39247734139
"2707602","AL",2016,1740.22858710562
"2707701","AL",2012,1039.31511390277
"2707701","AL",2014,1151.02753930219
"2707701","AL",2016,1300.51601286607
"2707800","AL",2012,1064.55836734694
"2707800","AL",2014,1354.67323809524
"2707800","AL",2016,1384.99707282913
"2707909","AL",2012,1398.62545851528
"2707909","AL",2014,1915.47762331839
"2707909","AL",2016,2139.52138935109
"2708006","AL",2012,1121.81165513952
"2708006","AL",2014,1370.62709508687
"2708006","AL",2016,1547.95986021505
"2708105","AL",2012,951.228695652174
"2708105","AL",2014,1240.11957644628
"2708105","AL",2016,1424.3344600939
"2708204","AL",2012,972.175207373272
"2708204","AL",2014,1344.25262254902
"2708204","AL",2016,1548.65496277916
"2708303","AL",2012,942.189921489683
"2708303","AL",2014,1055.51802942669
"2708303","AL",2016,1298.78510134013
"2708402","AL",2012,1144.47372809347
"2708402","AL",2014,1737.90857004206
"2708402","AL",2016,1974.43399048854
"2708501","AL",2012,933.510028431805
"2708501","AL",2014,1081.44440593205
"2708501","AL",2016,1271.67773862471
"2708600","AL",2012,1244.58102522873
"2708600","AL",2014,1472.29303235152
"2708600","AL",2016,1732.77276140241
"2708709","AL",2012,844.033243902439
"2708709","AL",2014,1066.57001074114
"2708709","AL",2016,1386.05641747573
"2708808","AL",2012,1152.07322227293
"2708808","AL",2014,1296.48977089521
"2708808","AL",2016,1628.34111063094
"2708907","AL",2012,1364.88485407981
"2708907","AL",2014,1575.17641806723
"2708907","AL",2016,1372.82100996678
"2708956","AL",2012,1086.16851289833
"2708956","AL",2014,1393.74024691358
"2708956","AL",2016,1791.73043478261
"2709004","AL",2012,976.12068119891
"2709004","AL",2014,1310.33184810127
"2709004","AL",2016,1377.97131736527
"2709103","AL",2012,1241.72827089337
"2709103","AL",2014,1433.5754518664
"2709103","AL",2016,1815.76593781344
"2709152","AL",2012,1212.00576286134
"2709152","AL",2014,1359.15640318692
"2709152","AL",2016,1608.7167203804
"2709202","AL",2012,1014.58810457516
"2709202","AL",2014,1247.18568357222
"2709202","AL",2016,1502.56751677852
"2709301","AL",2012,968.08931650304
"2709301","AL",2014,1096.58093882647
"2709301","AL",2016,1519.84795126973
"2709400","AL",2012,1047.79207902511
"2709400","AL",2014,1201.05767263427
"2709400","AL",2016,1404.66603646185
"1300029","AM",2012,951.53612244898
"1300029","AM",2014,1231.48661458334
"1300029","AM",2016,1391.78572864322
"1300060","AM",2012,1156.99243186583
"1300060","AM",2014,1308.70480215827
"1300060","AM",2016,1523.07247916667
"1300086","AM",2012,995.998657024794
"1300086","AM",2014,1170.04033898305
"1300086","AM",2016,1314.332048
"1300102","AM",2012,1233.61331738437
"1300102","AM",2014,1457.15270801815
"1300102","AM",2016,1502.26569908815
"1300144","AM",2012,1047.81112380952
"1300144","AM",2014,1326.86759276018
"1300144","AM",2016,1538.15863374486
"1300201","AM",2012,859.895606060606
"1300201","AM",2014,1190.75478976234
"1300201","AM",2016,1391.67325613079
"1300300","AM",2012,1129.974092827
"1300300","AM",2014,1326.48432324841
"1300300","AM",2016,1450.23281764319
"1300409","AM",2012,1063.87004555809
"1300409","AM",2014,1180.93853868195
"1300409","AM",2016,1466.66859649123
"1300508","AM",2012,1140.26843137255
"1300508","AM",2014,1319.5554537037
"1300508","AM",2016,1567.11071428571
"1300607","AM",2012,1127.43727707007
"1300607","AM",2014,1243.44790770609
"1300607","AM",2016,1560.37009391588
"1300631","AM",2012,2544.63166666667
"1300631","AM",2014,2482.345
"1300631","AM",2016,2435.3647368421
"1300680","AM",2012,1000.26933867735
"1300680","AM",2014,1065.3016796875
"1300680","AM",2016,1441.78893072289
"1300706","AM",2012,978.850708351551
"1300706","AM",2014,1122.4947083926
"1300706","AM",2016,1306.15345549738
"1300805","AM",2012,1172.33740721103
"1300805","AM",2014,1266.35935118434
"1300805","AM",2016,1529.82880875203
"1300839","AM",2012,829.06820093458
"1300839","AM",2014,1002.57919683258
"1300839","AM",2016,1114.97170594837
"1300904","AM",2012,1202.68651260504
"1300904","AM",2014,1328.97061889251
"1300904","AM",2016,1435.48577777778
"1301001","AM",2012,1283.7375
