"id_municipio","sigla_uf","ano","emprego_total","emprego_vinculo_clt"
"2900405","BA",2014,1051,383
"2900405","BA",2016,1019,325
"2900504","BA",2012,687,35
"2900504","BA",2014,407,47
"2900504","BA",2016,409,72
"2900603","BA",2012,395,121
"2900603","BA",2014,537,240
"2900603","BA",2016,392,133
"2900702","BA",2012,24100,21557
"2900702","BA",2014,25637,22975
"2900702","BA",2016,23493,21249
"2900801","BA",2012,1500,542
"2900801","BA",2014,1521,753
"2900801","BA",2016,1419,700
"2900900","BA",2012,365,103
"2900900","BA",2014,495,106
"2900900","BA",2016,358,98
"2901007","BA",2012,3490,2377
"2901007","BA",2014,3471,3338
"2901007","BA",2016,2884,2534
"2901106","BA",2012,3346,2520
"2901106","BA",2014,2555,1651
"2901106","BA",2016,2022,1228
"2901155","BA",2012,702,88
"2901155","BA",2014,729,166
"2901155","BA",2016,588,72
"2901205","BA",2012,1166,308
"2901205","BA",2014,1123,896
"2901205","BA",2016,1072,437
"2901304","BA",2012,742,170
"2901304","BA",2014,946,239
"2901304","BA",2016,816,223
"2901353","BA",2012,1632,1197
"2901353","BA",2014,1884,1305
"2901353","BA",2016,1737,1049
"2901403","BA",2012,954,144
"2901403","BA",2014,1001,166
"2901403","BA",2016,1026,257
"2901502","BA",2012,737,135
"2901502","BA",2014,539,162
"2901502","BA",2016,779,164
"2901601","BA",2012,543,140
"2901601","BA",2014,772,241
"2901601","BA",2016,688,182
"2901700","BA",2012,652,208
"2901700","BA",2014,717,232
"2901700","BA",2016,642,237
"2901809","BA",2012,509,79
"2901809","BA",2014,622,104
"2901809","BA",2016,631,110
"2901908","BA",2012,882,115
"2901908","BA",2014,848,134
"2901908","BA",2016,865,154
"2901957","BA",2012,411,40
"2901957","BA",2014,422,70
"2901957","BA",2016,378,53
"2902005","BA",2012,1238,1180
"2902005","BA",2014,1209,942
"2902005","BA",2016,1117,482
"2902054","BA",2012,537,312
"2902054","BA",2014,929,277
"2902054","BA",2016,1386,310
"2902104","BA",2012,2712,748
"2902104","BA",2014,2741,718
"2902104","BA",2016,2593,760
"2902203","BA",2012,447,266
"2902203","BA",2014,763,312
"2902203","BA",2016,649,261
"2902252","BA",2012,660,334
"2902252","BA",2014,793,364
"2902252","BA",2016,300,297
"2902302","BA",2012,349,71
"2902302","BA",2014,441,105
"2902302","BA",2016,357,92
"2902401","BA",2012,732,220
"2902401","BA",2014,842,410
"2902401","BA",2016,953,537
"2902500","BA",2012,652,200
"2902500","BA",2014,841,346
"2902500","BA",2016,716,330
"2902609","BA",2012,995,321
"2902609","BA",2014,957,227
"2902609","BA",2016,884,286
"2902658","BA",2012,732,162
"2902658","BA",2014,667,146
"2902658","BA",2016,630,155
"2902708","BA",2012,2469,900
"2902708","BA",2014,2524,1006
"2902708","BA",2016,2581,1047
"2902807","BA",2012,1608,822
"2902807","BA",2014,1874,1261
"2902807","BA",2016,1596,1021
"2902906","BA",2012,2327,2263
"2902906","BA",2014,2633,2313
"2902906","BA",2016,2481,1817
"2903003","BA",2012,648,278
"2903003","BA",2014,635,275
"2903003","BA",2016,656,308
"2903102","BA",2012,669,234
"2903102","BA",2014,2107,1692
"2903102","BA",2016,569,284
"2903201","BA",2012,26351,23414
"2903201","BA",2014,29743,25282
"2903201","BA",2016,26164,22991
"2903235","BA",2012,679,87
"2903235","BA",2014,688,104
"2903235","BA",2016,771,115
"2903276","BA",2012,1795,1244
"2903276","BA",2014,1528,942
"2903276","BA",2016,1441,963
"2903300","BA",2012,696,332
"2903300","BA",2014,673,319
"2903300","BA",2016,571,255
"2903409","BA",2012,1722,956
"2903409","BA",2014,1618,794
"2903409","BA",2016,1680,888
"2903508","BA",2012,729,210
"2903508","BA",2014,825,245
"2903508","BA",2016,867,265
"2903607","BA",2012,750,154
"2903607","BA",2014,944,202
"2903607","BA",2016,948,200
"2903706","BA",2012,745,135
"2903706","BA",2014,874,159
"2903706","BA",2016,800,230
"2903805","BA",2012,1192,285
"2903805","BA",2014,1201,363
"2903805","BA",2016,1000,366
"2903904","BA",2012,6508,4243
"2903904","BA",2014,7157,4847
"2903904","BA",2016,7423,5179
"2903953","BA",2012,494,71
"2903953","BA",2014,468,49
"2903953","BA",2016,386,55
"2904001","BA",2012,586,92
"2904001","BA",2014,614,159
"2904001","BA",2016,154,128
"2904050","BA",2012,766,302
"2904050","BA",2014,801,344
"2904050","BA",2016,736,305
"2904100","BA",2012,952,253
"2904100","BA",2014,1210,480
"2904100","BA",2016,1102,367
"2904209","BA",2012,352,100
"2904209","BA",2014,420,141
"2904209","BA",2016,84,84
"2904308","BA",2012,782,224
"2904308","BA",2014,846,339
"2904308","BA",2016,747,297
"2904407","BA",2012,489,37
"2904407","BA",2014,505,55
"2904407","BA",2016,492,67
"2904506","BA",2012,504,113
"2904506","BA",2014,482,84
"2904506","BA",2016,500,91
"2904605","BA",2012,11218,9859
"2904605","BA",2014,12684,11180
"2904605","BA",2016,13152,11978
"2904704","BA",2012,1197,586
"2904704","BA",2014,1243,630
"2904704","BA",2016,1141,567
"2904753","BA",2012,1134,51
"2904753","BA",2014,1022,44
"2904753","BA",2016,976,72
"2904803","BA",2012,571,257
"2904803","BA",2014,810,209
"2904803","BA",2016,990,290
"2904852","BA",2012,732,239
"2904852","BA",2014,1030,424
"2904852","BA",2016,899,341
"2904902","BA",2012,3681,2919
"2904902","BA",2014,3444,2701
"2904902","BA",2016,3251,2594
"2905008","BA",2012,2417,1761
"2905008","BA",2014,2575,1959
"2905008","BA",2016,2763,2114
"2905107","BA",2012,591,99
"2905107","BA",2014,633,109
"2905107","BA",2016,536,133
"2905156","BA",2012,336,63
"2905156","BA",2014,416,96
"2905156","BA",2016,295,112
"2905206","BA",2012,5107,3984
